제조사,제조국,원산지,코코아퍼센트,평점,리뷰연도
5150,U.S.A.,Tanzania,76,3.25,2019
5150,U.S.A.,Dominican Republic,76,3.5,2019
5150,U.S.A.,Madagascar,76,3.75,2019
5150,U.S.A.,Fiji,68,3,2021
5150,U.S.A.,Venezuela,72,3,2021
5150,U.S.A.,Uganda,80,3.25,2021
5150,U.S.A.,India,68,3.5,2021
A. Morin,France,Bolivia,70,3.5,2012
A. Morin,France,Peru,63,3.75,2012
A. Morin,France,Panama,70,2.75,2013
A. Morin,France,Colombia,70,2.75,2013
A. Morin,France,Madagascar,70,3,2013
A. Morin,France,Burma,70,3,2013
A. Morin,France,Brazil,70,3.25,2013
A. Morin,France,Papua New Guinea,70,3.25,2013
A. Morin,France,Peru,70,3.25,2013
A. Morin,France,Peru,70,3.5,2013
A. Morin,France,Ecuador,70,3.75,2013
A. Morin,France,Venezuela,70,4,2013
A. Morin,France,Peru,63,4,2013
A. Morin,France,Venezuela,70,2.75,2014
A. Morin,France,Cuba,70,3.5,2014
A. Morin,France,Venezuela,70,3.5,2014
A. Morin,France,Venezuela,70,3.75,2014
A. Morin,France,Peru,70,4,2014
A. Morin,France,Togo,70,2.75,2015
A. Morin,France,Togo,70,3,2015
A. Morin,France,Togo,70,3.5,2015
A. Morin,France,Peru,70,3.5,2015
A. Morin,France,Sao Tome,63,3.75,2016
A. Morin,France,Venezuela,70,3.5,2018
A. Morin,France,Peru,63,3.75,2018
A. Morin,France,Mexico,70,4,2021
Acalli,U.S.A.,Peru,70,3.75,2015
Acalli,U.S.A.,Peru,70,3.75,2015
Acalli,U.S.A.,Mexico,74,3.25,2020
Acalli,U.S.A.,Peru,70,3.5,2020
Adi aka Fijiana (Easy In Ltd),Fiji,Fiji,60,2.75,2011
Adi aka Fijiana (Easy In Ltd),Fiji,Fiji,80,3.25,2011
Adi aka Fijiana (Easy In Ltd),Fiji,Fiji,88,3.5,2011
Adi aka Fijiana (Easy In Ltd),Fiji,Fiji,72,3.5,2011
Aelan,Vanuatu,Vanuatu,70,2.5,2019
Aelan,Vanuatu,Vanuatu,70,2.75,2019
Aelan,Vanuatu,Vanuatu,70,2.75,2019
Aelan,Vanuatu,Vanuatu,70,3,2019
Aequare (Gianduja),Ecuador,Ecuador,55,2.75,2009
Aequare (Gianduja),Ecuador,Ecuador,70,3,2009
Ah Cacao,Mexico,Mexico,70,3,2009
Akesson's (Pralus),U.K.,Madagascar,75,2.75,2010
Akesson's (Pralus),U.K.,Brazil,75,2.75,2010
Akesson's (Pralus),U.K.,Indonesia,75,3.75,2011
Alain Ducasse,France,Venezuela,75,2.5,2013
Alain Ducasse,France,Peru,75,2.5,2013
Alain Ducasse,France,Trinidad,65,2.75,2014
Alain Ducasse,France,Vietnam,75,2.75,2014
Alain Ducasse,France,Madagascar,75,3,2014
Alain Ducasse,France,Mexico,75,3.5,2017
Alexandre,Netherlands,Ecuador,70,3.5,2017
Alexandre,Netherlands,Nicaragua,70,3.5,2017
Alexandre,Netherlands,Tanzania,70,3.5,2017
Alexandre,Netherlands,Vietnam,70,3.5,2017
Altus aka Cao Artisan,U.S.A.,Venezuela,60,2.5,2013
Altus aka Cao Artisan,U.S.A.,Dominican Republic,60,3,2013
Altus aka Cao Artisan,U.S.A.,Bolivia,60,3,2013
Altus aka Cao Artisan,U.S.A.,Bolivia,80,3.25,2013
Altus aka Cao Artisan,U.S.A.,Peru,60,3.25,2013
Altus aka Cao Artisan,U.S.A.,Bolivia,60,2.5,2016
Altus aka Cao Artisan,U.S.A.,Peru,60,2.5,2016
Altus aka Cao Artisan,U.S.A.,Nicaragua,60,2.75,2016
Altus aka Cao Artisan,U.S.A.,Ecuador,60,2.75,2016
Altus aka Cao Artisan,U.S.A.,Peru,60,3,2016
