이름,분류,질량g,낙하,연도,위도,경도
Aachen,L5,21,Fell,1880,50.775,6.083
Aguila Blanca,L,1440,Fell,1920,-30.867,-64.55
Al Zarnkh,LL5,700,Fell,2001,13.66,28.96
Alfianello,L6,228000,Fell,1883,45.267,10.15
Andura,H6,17900,Fell,1939,20.883,76.867
Arbol Solo,H5,810,Fell,1954,-33.0,-66.0
Athens,LL6,265,Fell,1933,34.75,-87.0
Aztec,L6,2830,Fell,1938,36.8,-108.0
Banswal,L5,14,Fell,1913,30.4,78.2
Bassikounou,H5,29560,Fell,2006,15.783,-5.9
Beddgelert,H5,794,Fell,1949,53.017,-4.1
Benton,LL6,2840,Fell,1949,45.95,-67.55
Bhawad,LL6,678,Fell,2002,26.508,73.115
Bishopville,Aubrite,6000,Fell,1843,34.167,-80.283
Bocas,L6,56,Fell,1804,23.0,-102.0
Boumdeid (2003),L6,190,Fell,2003,17.711,-11.371
Bukhara,CV3,5300,Fell,2001,39.78,64.6
Butsura,H6,29000,Fell,1861,27.083,84.083
Cañellas,H4,945,Fell,1861,41.25,1.667
Castine,L6,94,Fell,1848,44.383,-68.75
Chajari,L5,18300,Fell,1933,-30.783,-58.05
Chaves,Howardite,2945,Fell,1925,41.933,-7.467
Chiang Khan,H6,367,Fell,1981,17.9,101.633
Cold Bokkeveld,CM2,5200,Fell,1838,-33.133,19.383
Crumlin,L5,4255,Fell,1902,54.617,-6.217
Daule,L5,6580,Fell,2008,-1.871,-79.958
Devri-Khera,L6,1140,Fell,1994,24.225,76.525
Djoumine,H5-6,10000,Fell,1999,36.95,9.55
Dowa,Stone-uncl,642,Fell,1976,-13.667,33.917
Duwun,L6,2117,Fell,1943,33.433,127.267
El Idrissia,L6,10000,Fell,1989,34.417,3.25
Ensisheim,LL6,127000,Fell,1491,47.867,7.35
Farmington,L5,89400,Fell,1890,39.75,-97.033
Fisher,L6,17600,Fell,1894,47.817,-96.85
Fuhe,L5,23000,Fell,1945,31.476,113.567
Gao-Guenie,H5,NA,Fell,1960,11.65,-2.183
Glanerbrug,L/LL5,670,Fell,1990,52.2,6.867
Grimsby,H5,215,Fell,2009,43.2,-79.617
Guangrao,L6,1900,Fell,1980,37.1,118.4
Gursum,H4/5,34650,Fell,1981,9.367,42.417
Harleton,L6,8360,Fell,1961,32.675,-94.512
Hessle,H5,20000,Fell,1869,59.85,17.667
Hotse,L6,180,Fell,1956,35.667,115.5
Ichkala,H6,3973,Fell,1936,58.2,82.933
Ishinga,H,1300,Fell,1954,-8.933,33.8
Jamkheir,H6,22,Fell,1866,18.75,75.333
Jodiya,L5,100,Fell,2006,22.68,70.313
Juromenha,"Iron, IIIAB",25250,Fell,1968,38.74,-7.27
Kakangari,K3,350,Fell,1890,12.383,78.517
Kapoeta,Howardite,11355,Fell,1942,4.7,33.633
Kasamatsu,H,710,Fell,1938,35.367,136.767
Kerilis,H5,5000,Fell,1874,48.4,-3.3
Khohar,L3.6,9700,Fell,1910,25.1,81.533
Killeter,H6,140,Fell,1844,54.667,-7.667
Komagome,Iron,238,Fell,1926,35.733,139.75
Kulak,L5,453.6,Fell,1961,30.731,66.802
Kyushu,L6,45000,Fell,1886,32.033,130.633
Lakangaon,Eucrite-mmict,212.5,Fell,1910,21.867,76.033
Lavrentievka,L6,800,Fell,1938,52.45,51.567
Lesves,L6,2000,Fell,1896,50.367,4.733
Lodran,Lodranite,1000,Fell,1868,29.533,71.8
Lumpkin,L6,340,Fell,1869,32.033,-84.767
Macibini,Eucrite-pmict,1995,Fell,1936,-28.833,31.95
Malakal,L5,2000,Fell,1970,9.5,31.75
Mardan,H5,4500,Fell,1948,34.233,72.083
Maromandia,L6,6000,Fell,2002,-14.2,48.1
Maziba,L6,4975,Fell,1942,-1.217,30.0
Merua,H5,71400,Fell,1920,25.483,81.983
Mighei,CM2,8000,Fell,1889,48.067,30.967
Minnichhof,OC,550,Fell,1905,47.7,16.6
Monroe,H4,8600,Fell,1849,35.25,-80.5
Moradabad,L6,70,Fell,1808,28.783,78.833
