국가,코드,대륙,연도,연간 CO₂ 배출량
China,CHN,아시아,2024,12289037000
United States,USA,북미,2024,4904120000
India,IND,아시아,2024,3193478100
Russia,RUS,유럽,2024,1780524400
Japan,JPN,아시아,2024,961867300
Indonesia,IDN,아시아,2024,812220200
Iran,IRN,아시아,2024,792631200
Saudi Arabia,SAU,아시아,2024,692133500
South Korea,KOR,아시아,2024,583679170
Germany,DEU,유럽,2024,572319170
Canada,CAN,북미,2024,533340100
Turkey,TUR,아시아,2024,513034600
Brazil,BRA,남미,2024,483011550
Mexico,MEX,북미,2024,460987650
South Africa,ZAF,아프리카,2024,439830500
Australia,AUS,오세아니아,2024,386732380
Vietnam,VNM,아시아,2024,370931330
United Kingdom,GBR,유럽,2024,312905540
Italy,ITA,유럽,2024,301929760
Malaysia,MYS,아시아,2024,290223840
Kazakhstan,KAZ,아시아,2024,287005950
Poland,POL,유럽,2024,272861820
Thailand,THA,아시아,2024,267760200
France,FRA,유럽,2024,264155620
Taiwan,TWN,아시아,2024,262344820
Egypt,EGY,아프리카,2024,258367860
Iraq,IRQ,아시아,2024,233635500
United Arab Emirates,ARE,아시아,2024,221988080
Spain,ESP,유럽,2024,220341280
Algeria,DZA,아프리카,2024,198203180
Pakistan,PAK,아시아,2024,179800380
Philippines,PHL,아시아,2024,174878000
Argentina,ARG,남미,2024,171059260
Ukraine,UKR,유럽,2024,142497860
Uzbekistan,UZB,아시아,2024,139234180
Nigeria,NGA,아프리카,2024,135824000
Kuwait,KWT,아시아,2024,129518650
Qatar,QAT,아시아,2024,125812260
Venezuela,VEN,남미,2024,116042424
Netherlands,NLD,유럽,2024,114784730
Bangladesh,BGD,아시아,2024,108317880
Colombia,COL,남미,2024,92659384
Belgium,BEL,유럽,2024,85456200
Oman,OMN,아시아,2024,82661976
Turkmenistan,TKM,아시아,2024,81005550
Chile,CHL,남미,2024,78725544
Czechia,CZE,유럽,2024,75623000
Peru,PER,남미,2024,70246650
Morocco,MAR,아프리카,2024,69062344
Romania,ROU,유럽,2024,68551400
Libya,LBY,아프리카,2024,65260070
North Korea,PRK,아시아,2024,62550270
Austria,AUT,유럽,2024,56367656
Belarus,BLR,유럽,2024,55818416
Singapore,SGP,아시아,2024,53919460
Greece,GRC,유럽,2024,53360840
Israel,ISR,아시아,2024,52637136
Ecuador,ECU,남미,2024,45979548
Mongolia,MNG,아시아,2024,44693890
Serbia,SRB,유럽,2024,42019440
Hungary,HUN,유럽,2024,40017292
Azerbaijan,AZE,아시아,2024,39830140
Bahrain,BHR,아시아,2024,39003456
Sweden,SWE,유럽,2024,38096652
Norway,NOR,유럽,2024,37183000
Portugal,PRT,유럽,2024,35538852
Trinidad and Tobago,TTO,북미,2024,34576280
Hong Kong,HKG,아시아,2024,33323918
Ireland,IRL,유럽,2024,33310624
Dominican Republic,DOM,북미,2024,33130818
