국가,코드,대륙,연도,국토 숲 비율
French Guiana,GUF,남미,2025,95.6
Guyana,GUY,남미,2025,93.4
Micronesia (country),FSM,오세아니아,2025,92.2
Gabon,GAB,아프리카,2025,91.4
Suriname,SUR,남미,2025,91.4
Palau,PLW,오세아니아,2025,91.0
Solomon Islands,SLB,오세아니아,2025,89.8
Equatorial Guinea,GNQ,아프리카,2025,85.8
American Samoa,ASM,오세아니아,2025,79.2
Dominica,DMA,북미,2025,76.5
Papua New Guinea,PNG,오세아니아,2025,75.1
Guinea-Bissau,GNB,아프리카,2025,74.7
Vanuatu,VUT,오세아니아,2025,74.4
Finland,FIN,유럽,2025,74.2
Saint Vincent and the Grenadines,VCT,북미,2025,73.2
Central African Republic,CAF,아프리카,2025,72.4
Brunei,BRN,아시아,2025,72.1
East Timor,TLS,아시아,2025,70.9
Bhutan,BTN,아시아,2025,70.1
Sweden,SWE,유럽,2025,68.6
Japan,JPN,아시아,2025,68.3
Taiwan,TWN,아시아,2015,67.0
British Virgin Islands,VGB,북미,2025,66.5
Liberia,LBR,아프리카,2025,65.7
South Korea,KOR,아시아,2025,64.3
North Korea,PRK,아시아,2025,64.2
Congo,COG,아프리카,2025,64.0
Fiji,FJI,오세아니아,2025,62.2
Panama,PAN,북미,2025,62.2
Slovenia,SVN,유럽,2025,61.8
Montenegro,MNE,유럽,2025,61.5
Democratic Republic of Congo,COD,아프리카,2025,61.4
Zambia,ZMB,아프리카,2025,60.4
United States Virgin Islands,VIR,북미,2025,59.0
Costa Rica,CRI,북미,2025,58.6
Brazil,BRA,남미,2025,58.2
Belize,BLZ,북미,2025,57.7
Seychelles,SYC,아프리카,2025,57.7
Sao Tome and Principe,STP,아프리카,2025,57.6
Malaysia,MYS,아시아,2025,57.5
Samoa,WSM,오세아니아,2025,57.5
Estonia,EST,유럽,2025,57.3
Jamaica,JAM,북미,2025,56.9
Laos,LAO,아시아,2025,56.5
Latvia,LVA,유럽,2025,55.7
Marshall Islands,MHL,오세아니아,2025,53.9
Saint Lucia,LCA,북미,2025,53.8
Colombia,COL,남미,2025,53.6
Venezuela,VEN,남미,2025,53.4
Cayman Islands,CYM,북미,2025,53.0
Northern Mariana Islands,MNP,오세아니아,2025,53.0
Peru,PER,남미,2025,52.5
Guam,GUM,오세아니아,2025,52.4
Honduras,HND,북미,2025,52.4
Grenada,GRD,북미,2025,52.1
Bahamas,BHS,북미,2025,50.9
Russia,RUS,유럽,2025,50.8
Angola,AGO,아프리카,2025,50.7
Indonesia,IDN,아시아,2025,50.7
