국가,코드,대륙,연도,지니계수(불평등)
Haiti,HTI,북미,2012,0.605
Namibia,NAM,아프리카,2015,0.591
Botswana,BWA,아프리카,2015,0.549
Eswatini,SWZ,아프리카,2016,0.546
Colombia,COL,남미,2024,0.544
South Africa,ZAF,아프리카,2022,0.541
Zambia,ZMB,아프리카,2022,0.515
Angola,AGO,아프리카,2018,0.513
Saint Lucia,LCA,북미,2015,0.512
Brazil,BRA,남미,2024,0.503
Zimbabwe,ZWE,아프리카,2019,0.503
Panama,PAN,북미,2024,0.497
Mozambique,MOZ,아프리카,2022,0.496
Congo,COG,아프리카,2011,0.489
Nicaragua,NIC,북미,2014,0.462
Ecuador,ECU,남미,2025,0.459
Honduras,HND,북미,2024,0.457
Costa Rica,CRI,북미,2025,0.455
Guatemala,GTM,북미,2023,0.452
Guyana,GUY,남미,1998,0.451
Lesotho,LSO,아프리카,2017,0.449
Democratic Republic of Congo,COD,아프리카,2020,0.447
Venezuela,VEN,남미,2006,0.447
Paraguay,PRY,남미,2024,0.442
South Sudan,SSD,아프리카,2016,0.44
Grenada,GRD,북미,2018,0.438
Turkey,TUR,아시아,2023,0.437
Ghana,GHA,아프리카,2016,0.435
Central African Republic,CAF,아프리카,2021,0.43
Chile,CHL,남미,2024,0.43
Uganda,UGA,아프리카,2019,0.427
Mexico,MEX,북미,2024,0.426
Cape Verde,CPV,아프리카,2015,0.424
Cameroon,CMR,아프리카,2021,0.422
Papua New Guinea,PNG,오세아니아,2009,0.419
United States,USA,북미,2024,0.418
Djibouti,DJI,아프리카,2017,0.416
Bolivia,BOL,남미,2024,0.409
Turkmenistan,TKM,아시아,1998,0.408
Malaysia,MYS,아시아,2021,0.407
Sao Tome and Principe,STP,아프리카,2017,0.407
Tanzania,TZA,아프리카,2018,0.405
Trinidad and Tobago,TTO,북미,1992,0.402
Micronesia (country),FSM,오세아니아,2013,0.401
Peru,PER,남미,2024,0.401
Uruguay,URY,남미,2024,0.4
Belize,BLZ,북미,2018,0.399
Jamaica,JAM,북미,2021,0.399
El Salvador,SLV,북미,2023,0.398
Bulgaria,BGR,유럽,2023,0.395
Morocco,MAR,아프리카,2013,0.395
Rwanda,RWA,아프리카,2023,0.394
Suriname,SUR,남미,2022,0.392
Tuvalu,TUV,오세아니아,2010,0.391
Dominican Republic,DOM,북미,2024,0.39
Gambia,GMB,아프리카,2020,0.388
Samoa,WSM,오세아니아,2013,0.387
Equatorial Guinea,GNQ,아프리카,2022,0.385
