국가,코드,대륙,연도,기대수명
Monaco,MCO,유럽,2023,86.4
San Marino,SMR,유럽,2023,85.7
Hong Kong,HKG,아시아,2023,85.5
Japan,JPN,아시아,2023,84.7
Saint Barthelemy,BLM,북미,2023,84.3
South Korea,KOR,아시아,2023,84.3
French Polynesia,PYF,오세아니아,2023,84.1
Andorra,AND,유럽,2023,84.0
Switzerland,CHE,유럽,2023,84.0
Australia,AUS,오세아니아,2023,83.9
Italy,ITA,유럽,2023,83.7
Singapore,SGP,아시아,2023,83.7
Spain,ESP,유럽,2023,83.7
Gibraltar,GIB,유럽,2023,83.6
Liechtenstein,LIE,유럽,2023,83.6
Reunion,REU,아프리카,2023,83.5
France,FRA,유럽,2023,83.3
Guernsey,GGY,유럽,2023,83.3
Malta,MLT,유럽,2023,83.3
Norway,NOR,유럽,2023,83.3
Sweden,SWE,유럽,2023,83.3
Macao,MAC,아시아,2023,83.1
Vatican,VAT,유럽,2023,83.0
United Arab Emirates,ARE,아시아,2023,82.9
Iceland,ISL,유럽,2023,82.7
Canada,CAN,북미,2023,82.6
Martinique,MTQ,북미,2023,82.6
Ireland,IRL,유럽,2023,82.4
Israel,ISR,아시아,2023,82.4
Portugal,PRT,유럽,2023,82.4
Qatar,QAT,아시아,2023,82.4
Bermuda,BMU,북미,2023,82.3
Luxembourg,LUX,유럽,2023,82.2
Netherlands,NLD,유럽,2023,82.2
Belgium,BEL,유럽,2023,82.1
Guadeloupe,GLP,북미,2023,82.1
New Zealand,NZL,오세아니아,2023,82.1
Austria,AUT,유럽,2023,82.0
Denmark,DNK,유럽,2023,81.9
Finland,FIN,유럽,2023,81.9
Greece,GRC,유럽,2023,81.9
Puerto Rico,PRI,북미,2023,81.7
Cyprus,CYP,유럽,2023,81.6
Slovenia,SVN,유럽,2023,81.6
Germany,DEU,유럽,2023,81.4
Bahrain,BHR,아시아,2023,81.3
United Kingdom,GBR,유럽,2023,81.3
Chile,CHL,남미,2023,81.2
Isle of Man,IMN,유럽,2023,81.0
Maldives,MDV,아시아,2023,81.0
Costa Rica,CRI,북미,2023,80.8
Taiwan,TWN,아시아,2023,80.6
Cayman Islands,CYM,북미,2023,80.4
Kuwait,KWT,아시아,2023,80.4
Faroe Islands,FRO,유럽,2023,80.2
Saint Martin (French part),MAF,북미,2023,80.2
Oman,OMN,아시아,2023,80.0
Czechia,CZE,유럽,2023,79.8
Jersey,JEY,유럽,2023,79.7
Albania,ALB,유럽,2023,79.6
Panama,PAN,북미,2023,79.6
Anguilla,AIA,북미,2023,79.3
United States,USA,북미,2023,79.3
Estonia,EST,유럽,2023,79.2
Falkland Islands,FLK,남미,2023,79.2
New Caledonia,NCL,오세아니아,2023,78.8
Northern Mariana Islands,MNP,오세아니아,2023,78.8
Saudi Arabia,SAU,아시아,2023,78.7
Croatia,HRV,유럽,2023,78.6
Poland,POL,유럽,2023,78.6
Wallis and Futuna,WLF,오세아니아,2023,78.6
Slovakia,SVK,유럽,2023,78.3
Cuba,CUB,북미,2023,78.1
Uruguay,URY,남미,2023,78.1
China,CHN,아시아,2023,78.0
Turks and Caicos Islands,TCA,북미,2023,78.0
Bosnia and Herzegovina,BIH,유럽,2023,77.9
Jordan,JOR,아시아,2023,77.8
Lebanon,LBN,아시아,2023,77.8
Colombia,COL,남미,2023,77.7
Iran,IRN,아시아,2023,77.7
Peru,PER,남미,2023,77.7
Antigua and Barbuda,ATG,북미,2023,77.6
Sri Lanka,LKA,아시아,2023,77.5
Argentina,ARG,남미,2023,77.4
Bonaire Sint Eustatius and Saba,BES,북미,2023,77.4
Ecuador,ECU,남미,2023,77.4
North Macedonia,MKD,유럽,2023,77.4
British Virgin Islands,VGB,북미,2023,77.3
Guam,GUM,오세아니아,2023,77.2
Turkey,TUR,아시아,2023,77.2
Montenegro,MNE,유럽,2023,77.1
Tokelau,TKL,오세아니아,2023,77.1
French Guiana,GUF,남미,2023,77.0
Hungary,HUN,유럽,2023,77.0
Curacao,CUW,북미,2023,76.8
Saint Helena,SHN,아프리카,2023,76.8
Saint Pierre and Miquelon,SPM,북미,2023,76.8
Serbia,SRB,유럽,2023,76.8
Malaysia,MYS,아시아,2023,76.7
Tunisia,TUN,아프리카,2023,76.5
Aruba,ABW,북미,2023,76.4
Sint Maarten (Dutch part),SXM,북미,2023,76.4
Thailand,THA,아시아,2023,76.4
Algeria,DZA,아프리카,2023,76.3
Barbados,BRB,북미,2023,76.2
Latvia,LVA,유럽,2023,76.2
Montserrat,MSR,북미,2023,76.2
Cape Verde,CPV,아프리카,2023,76.1
Mayotte,MYT,아프리카,2023,76.1
Lithuania,LTU,유럽,2023,76.0
Romania,ROU,유럽,2023,75.9
Brazil,BRA,남미,2023,75.8
Armenia,ARM,아시아,2023,75.7
Bulgaria,BGR,유럽,2023,75.6
United States Virgin Islands,VIR,북미,2023,75.5
Brunei,BRN,아시아,2023,75.3
Cook Islands,COK,오세아니아,2023,75.3
Morocco,MAR,아프리카,2023,75.3
Grenada,GRD,북미,2023,75.2
Mexico,MEX,북미,2023,75.1
Mauritius,MUS,아프리카,2023,74.9
Nicaragua,NIC,북미,2023,74.9
Bangladesh,BGD,아시아,2023,74.7
Bahamas,BHS,북미,2023,74.6
Vietnam,VNM,아시아,2023,74.6
Georgia,GEO,아시아,2023,74.5
Azerbaijan,AZE,아시아,2023,74.4
Belarus,BLR,유럽,2023,74.4
Kazakhstan,KAZ,아시아,2023,74.4
Paraguay,PRY,남미,2023,73.8
Dominican Republic,DOM,북미,2023,73.7
Belize,BLZ,북미,2023,73.6
North Korea,PRK,아시아,2023,73.6
Suriname,SUR,남미,2023,73.6
Trinidad and Tobago,TTO,북미,2023,73.5
Ukraine,UKR,유럽,2023,73.4
Russia,RUS,유럽,2023,73.2
Bhutan,BTN,아시아,2023,73.0
American Samoa,ASM,오세아니아,2023,72.9
Honduras,HND,북미,2023,72.9
Seychelles,SYC,아프리카,2023,72.9
Tonga,TON,오세아니아,2023,72.9
Saint Lucia,LCA,북미,2023,72.7
Guatemala,GTM,북미,2023,72.6
Venezuela,VEN,남미,2023,72.5
Uzbekistan,UZB,아시아,2023,72.4
Iraq,IRQ,아시아,2023,72.3
El Salvador,SLV,북미,2023,72.1
Saint Kitts and Nevis,KNA,북미,2023,72.1
Syria,SYR,아시아,2023,72.1
India,IND,아시아,2023,72.0
Tajikistan,TJK,아시아,2023,71.8
Kyrgyzstan,KGZ,아시아,2023,71.7
Mongolia,MNG,아시아,2023,71.7
Samoa,WSM,오세아니아,2023,71.7
Egypt,EGY,아프리카,2023,71.6
Jamaica,JAM,북미,2023,71.5
Vanuatu,VUT,오세아니아,2023,71.5
Western Sahara,ESH,아프리카,2023,71.4
Moldova,MDA,유럽,2023,71.2
Saint Vincent and the Grenadines,VCT,북미,2023,71.2
Dominica,DMA,북미,2023,71.1
Indonesia,IDN,아시아,2023,71.1
Cambodia,KHM,아시아,2023,70.7
Solomon Islands,SLB,오세아니아,2023,70.5
Nepal,NPL,아시아,2023,70.4
Guyana,GUY,남미,2023,70.2
Greenland,GRL,북미,2023,70.1
Turkmenistan,TKM,아시아,2023,70.1
