국가,코드,대륙,연도,문해율
North Korea,PRK,아시아,2008,100.0
Tokelau,TKL,오세아니아,2022,100.0
Tuvalu,TUV,오세아니아,2022,100.0
Uzbekistan,UZB,아시아,2022,100.0
Belarus,BLR,유럽,2019,99.9
Estonia,EST,유럽,2011,99.9
Latvia,LVA,유럽,2011,99.9
Russia,RUS,유럽,2021,99.9
San Marino,SMR,유럽,2022,99.9
Turkmenistan,TKM,아시아,2022,99.9
Armenia,ARM,아시아,2023,99.8
Azerbaijan,AZE,아시아,2023,99.8
Lithuania,LTU,유럽,2011,99.8
Palau,PLW,오세아니아,2020,99.8
Georgia,GEO,아시아,2024,99.7
Kazakhstan,KAZ,아시아,2009,99.7
Spain,ESP,유럽,2021,99.7
Tajikistan,TJK,아시아,2009,99.7
Slovenia,SVN,유럽,1991,99.5
Tonga,TON,오세아니아,2023,99.5
Guam,GUM,오세아니아,1990,99.4
Moldova,MDA,유럽,2014,99.4
Ukraine,UKR,유럽,2001,99.4
Wallis and Futuna,WLF,오세아니아,2023,99.4
Barbados,BRB,북미,1970,99.3
Italy,ITA,유럽,2019,99.3
Qatar,QAT,아시아,2024,99.3
Saint Pierre and Miquelon,SPM,북미,1982,99.3
Serbia,SRB,유럽,2022,99.3
Kyrgyzstan,KGZ,아시아,2009,99.2
Romania,ROU,유럽,2021,99.2
Argentina,ARG,남미,2020,99.1
Niue,NIU,오세아니아,2022,99.1
Antigua and Barbuda,ATG,북미,2001,99.0
Cayman Islands,CYM,북미,2017,98.9
Hungary,HUN,유럽,1980,98.9
Uruguay,URY,남미,2024,98.9
United Arab Emirates,ARE,아시아,2024,98.8
Cyprus,CYP,유럽,2011,98.7
Poland,POL,유럽,1978,98.7
Kiribati,KIR,오세아니아,2020,98.6
Mongolia,MNG,아시아,2024,98.6
Australia,AUS,오세아니아,1950,98.5
Austria,AUT,유럽,1950,98.5
Denmark,DNK,유럽,1950,98.5
Faroe Islands,FRO,유럽,1950,98.5
Finland,FIN,유럽,1950,98.5
Germany,DEU,유럽,1950,98.5
Greenland,GRL,북미,1950,98.5
Iceland,ISL,유럽,1950,98.5
Ireland,IRL,유럽,1950,98.5
Isle of Man,IMN,유럽,1950,98.5
Liechtenstein,LIE,유럽,1950,98.5
Montenegro,MNE,유럽,2018,98.5
Netherlands,NLD,유럽,1950,98.5
New Zealand,NZL,오세아니아,1950,98.5
Norway,NOR,유럽,1950,98.5
Philippines,PHL,아시아,2020,98.5
Sweden,SWE,유럽,1950,98.5
Switzerland,CHE,유럽,1950,98.5
United Kingdom,GBR,유럽,1950,98.5
Bulgaria,BGR,유럽,2011,98.3
Croatia,HRV,유럽,2001,98.2
Maldives,MDV,아시아,2019,98.2
Samoa,WSM,오세아니아,2019,98.0
South Korea,KOR,아시아,2008,98.0
Palestine,PSE,아시아,2024,97.9
Saudi Arabia,SAU,아시아,2024,97.9
Bahrain,BHR,아시아,2024,97.8
Grenada,GRD,북미,1970,97.8
Albania,ALB,유럽,2023,97.7
Cuba,CUB,북미,2019,97.7
Singapore,SGP,아시아,2021,97.7
Canada,CAN,북미,1950,97.5
Japan,JPN,아시아,1950,97.5
Costa Rica,CRI,북미,2011,97.4
American Samoa,ASM,오세아니아,1980,97.3
Oman,OMN,아시아,2022,97.3
Turkey,TUR,아시아,2021,97.3
Venezuela,VEN,남미,2017,97.2
Bosnia and Herzegovina,BIH,유럽,2013,97.0
Trinidad and Tobago,TTO,북미,1990,96.9
Aruba,ABW,북미,2010,96.8
Bolivia,BOL,남미,2024,96.7
China,CHN,아시아,2020,96.7
Nauru,NRU,오세아니아,2023,96.6
Belgium,BEL,유럽,1950,96.5
Bermuda,BMU,북미,1950,96.5
France,FRA,유럽,1950,96.5
Kuwait,KWT,아시아,2020,96.5
Luxembourg,LUX,유럽,1950,96.5
Macao,MAC,아시아,2016,96.5
Monaco,MCO,유럽,1950,96.5
Saint Helena,SHN,아프리카,1998,96.5
United States,USA,북미,1950,96.5
Chile,CHL,남미,2017,96.4
Panama,PAN,북미,2024,96.2
Brunei,BRN,아시아,2011,96.1
New Caledonia,NCL,오세아니아,1996,96.1
North Macedonia,MKD,유럽,2002,96.1
Vietnam,VNM,아시아,2022,96.1
Indonesia,IDN,아시아,2020,96.0
Malaysia,MYS,아시아,2022,95.8
Marshall Islands,MHL,오세아니아,2021,95.8
