국가,코드,대륙,연도,플라스틱 폐기물(톤)
China,CHN,아시아,2010,59079741
United States,USA,북미,2010,37825550
Germany,DEU,유럽,2010,14476561
Brazil,BRA,남미,2010,11852055
Japan,JPN,아시아,2010,7993489
Pakistan,PAK,아시아,2010,6412210
Nigeria,NGA,아프리카,2010,5961750
Russia,RUS,유럽,2010,5839685
Turkey,TUR,아시아,2010,5596657
Egypt,EGY,아프리카,2010,5464471
Indonesia,IDN,아시아,2010,5045714
United Kingdom,GBR,유럽,2010,4925590
Spain,ESP,유럽,2010,4709157
France,FRA,유럽,2010,4557128
India,IND,아시아,2010,4493080
South Africa,ZAF,아프리카,2010,4465798
Iran,IRN,아시아,2010,3919268
Mexico,MEX,북미,2010,3725463
Thailand,THA,아시아,2010,3532495
Vietnam,VNM,아시아,2010,3268227
Italy,ITA,유럽,2010,2899258
Argentina,ARG,남미,2010,2753550
Venezuela,VEN,남미,2010,2669998
Sri Lanka,LKA,아시아,2010,2621606
Netherlands,NLD,유럽,2010,2571398
Philippines,PHL,아시아,2010,2565766
Colombia,COL,남미,2010,2413455
Malaysia,MYS,아시아,2010,2031675
South Korea,KOR,아시아,2010,2025772
Algeria,DZA,아프리카,2010,1898343
Bangladesh,BGD,아시아,2010,1888170
Trinidad and Tobago,TTO,북미,2010,1745123
Ukraine,UKR,유럽,2010,1724509
Saudi Arabia,SAU,아시아,2010,1561618
Peru,PER,남미,2010,1543879
Guatemala,GTM,북미,2010,1495229
Myanmar,MMR,아시아,2010,1373018
Syria,SYR,아시아,2010,1365594
Poland,POL,유럽,2010,1346905
Sudan,SDN,아프리카,2010,1292740
Iraq,IRQ,아시아,2010,1156524
Canada,CAN,북미,2010,1154309
Democratic Republic of Congo,COD,아프리카,2010,1059795
Portugal,PRT,유럽,2010,1022683
Hong Kong,HKG,아시아,2010,1020406
Australia,AUS,오세아니아,2010,900658
Yemen,YEM,아시아,2010,887497
Morocco,MAR,아프리카,2010,863555
Israel,ISR,아시아,2010,826436
Greece,GRC,유럽,2010,811858
Ecuador,ECU,남미,2010,801321
Cote d'Ivoire,CIV,아프리카,2010,766988
Kuwait,KWT,아시아,2010,750690
Chile,CHL,남미,2010,738106
Ireland,IRL,유럽,2010,715716
United Arab Emirates,ARE,아시아,2010,600741
Honduras,HND,북미,2010,565317
Tunisia,TUN,아프리카,2010,559235
Angola,AGO,아프리카,2010,528843
New Zealand,NZL,오세아니아,2010,525630
Dominican Republic,DOM,북미,2010,520238
Norway,NOR,유럽,2010,499682
Senegal,SEN,아프리카,2010,485586
North Korea,PRK,아시아,2010,484700
Finland,FIN,유럽,2010,458084
Costa Rica,CRI,북미,2010,428029
Bulgaria,BGR,유럽,2010,415707
Kenya,KEN,아프리카,2010,407506
Croatia,HRV,유럽,2010,406347
Tanzania,TZA,아프리카,2010,386998
Jordan,JOR,아시아,2010,377506
Cuba,CUB,북미,2010,368154
Singapore,SGP,아시아,2010,359483
Ghana,GHA,아프리카,2010,357877
Cambodia,KHM,아시아,2010,344698
Puerto Rico,PRI,북미,2010,342306
Cameroon,CMR,아프리카,2010,335305
El Salvador,SLV,북미,2010,330763
Haiti,HTI,북미,2010,328487
Libya,LBY,아프리카,2010,324250
Belgium,BEL,유럽,2010,318151
Romania,ROU,유럽,2010,310385
Uruguay,URY,남미,2010,310379
Nicaragua,NIC,북미,2010,299480
Papua New Guinea,PNG,오세아니아,2010,267234
Somalia,SOM,아프리카,2010,237569
Bosnia and Herzegovina,BIH,유럽,2010,195633
Panama,PAN,북미,2010,192818
Sweden,SWE,유럽,2010,164305
Guyana,GUY,남미,2010,159681
Lithuania,LTU,유럽,2010,149227
Lebanon,LBN,아시아,2010,148807
Benin,BEN,아프리카,2010,144382
Togo,TGO,아프리카,2010,135294
Mozambique,MOZ,아프리카,2010,132612
Madagascar,MDG,아프리카,2010,123526
Liberia,LBR,아프리카,2010,121050
Guinea,GIN,아프리카,2010,118196
Namibia,NAM,아프리카,2010,114222
Congo,COG,아프리카,2010,110479
Slovenia,SVN,유럽,2010,108421
Mauritius,MUS,아프리카,2010,104971
Qatar,QAT,아시아,2010,103933
Cyprus,CYP,유럽,2010,100713
Georgia,GEO,아시아,2010,97443
Sierra Leone,SLE,아프리카,2010,96655
Denmark,DNK,유럽,2010,95171
Latvia,LVA,유럽,2010,94935
Oman,OMN,아시아,2010,93251
Palestine,PSE,아시아,2010,87636
Estonia,EST,유럽,2010,85534
Albania,ALB,유럽,2010,73364
Macao,MAC,아시아,2010,72126
Eritrea,ERI,아프리카,2010,72120
Bahrain,BHR,아시아,2010,59785
Fiji,FJI,오세아니아,2010,59324
Mauritania,MRT,아프리카,2010,59287
Barbados,BRB,북미,2010,58164
Bahamas,BHS,북미,2010,51364
Comoros,COM,아프리카,2010,50599
Equatorial Guinea,GNQ,아프리카,2010,49990
Maldives,MDV,아시아,2010,43134
Jamaica,JAM,북미,2010,34962
Saint Lucia,LCA,북미,2010,32882
Iceland,ISL,유럽,2010,32620
Montenegro,MNE,유럽,2010,32557
Malta,MLT,유럽,2010,32377
Gabon,GAB,아프리카,2010,32329
Djibouti,DJI,아프리카,2010,31999
Suriname,SUR,남미,2010,31300
Guinea-Bissau,GNB,아프리카,2010,30666
Gambia,GMB,아프리카,2010,29646
Vanuatu,VUT,오세아니아,2010,25443
French Polynesia,PYF,오세아니아,2010,24634
New Caledonia,NCL,오세아니아,2010,22995
Antigua and Barbuda,ATG,북미,2010,22804
Belize,BLZ,북미,2010,20191
Solomon Islands,SLB,오세아니아,2010,19842
Guam,GUM,오세아니아,2010,14666
Curacao,CUW,북미,2010,13678
Grenada,GRD,북미,2010,12417
Saint Kitts and Nevis,KNA,북미,2010,12280
Cape Verde,CPV,아프리카,2010,11919
Seychelles,SYC,아프리카,2010,11730
Aruba,ABW,북미,2010,9352
Saint Vincent and the Grenadines,VCT,북미,2010,8818
Tonga,TON,오세아니아,2010,8476
Samoa,WSM,오세아니아,2010,7000
Sao Tome and Principe,STP,아프리카,2010,6571
Bermuda,BMU,북미,2010,5990
Greenland,GRL,북미,2010,5234
Cayman Islands,CYM,북미,2010,5106
Northern Mariana Islands,MNP,오세아니아,2010,5006
Faroe Islands,FRO,유럽,2010,4466
Micronesia (country),FSM,오세아니아,2010,3895
Dominica,DMA,북미,2010,3885
Kiribati,KIR,오세아니아,2010,3859
Brunei,BRN,아시아,2010,3688
Marshall Islands,MHL,오세아니아,2010,3674
Monaco,MCO,유럽,2010,3412
Sint Maarten (Dutch part),SXM,북미,2010,3263
Gibraltar,GIB,유럽,2010,3053
Turks and Caicos Islands,TCA,북미,2010,2851
British Virgin Islands,VGB,북미,2010,2504
Palau,PLW,오세아니아,2010,1076
Tuvalu,TUV,오세아니아,2010,554
Nauru,NRU,오세아니아,2010,527
