국가,코드,대륙,연도,극빈곤 인구비율
Democratic Republic of Congo,COD,아프리카,2020,85.3
Mozambique,MOZ,아프리카,2022,81.4
South Sudan,SSD,아프리카,2016,76.5
Malawi,MWI,아프리카,2019,75.4
Burundi,BDI,아프리카,2020,74.2
Zambia,ZMB,아프리카,2022,71.7
Central African Republic,CAF,아프리카,2021,71.6
Madagascar,MDG,아프리카,2021,69.2
Haiti,HTI,북미,2012,65.1
Niger,NER,아프리카,2021,60.5
Uganda,UGA,아프리카,2019,59.8
Papua New Guinea,PNG,오세아니아,2009,52.2
Tanzania,TZA,아프리카,2018,51.3
Zimbabwe,ZWE,아프리카,2019,49.2
Kenya,KEN,아프리카,2022,45.5
Eswatini,SWZ,아프리카,2016,44.5
East Timor,TLS,아시아,2014,44.0
Burkina Faso,BFA,아프리카,2021,42.1
Lesotho,LSO,아프리카,2017,41.9
Nigeria,NGA,아프리카,2022,41.8
Sierra Leone,SLE,아프리카,2018,41.5
Solomon Islands,SLB,오세아니아,2012,40.3
Guinea-Bissau,GNB,아프리카,2021,39.9
Chad,TCD,아프리카,2022,39.5
Angola,AGO,아프리카,2018,39.3
Congo,COG,아프리카,2011,39.2
Ghana,GHA,아프리카,2016,39.0
Ethiopia,ETH,아프리카,2021,38.6
Rwanda,RWA,아프리카,2023,38.6
Mali,MLI,아프리카,2021,36.1
Turkmenistan,TKM,아시아,1998,35.1
Togo,TGO,아프리카,2021,34.7
Liberia,LBR,아프리카,2016,33.6
Yemen,YEM,아시아,2014,33.3
Benin,BEN,아프리카,2021,27.2
Cameroon,CMR,아프리카,2021,26.7
Micronesia (country),FSM,오세아니아,2013,26.1
Djibouti,DJI,아프리카,2017,25.4
Pakistan,PAK,아시아,2024,23.0
Namibia,NAM,아프리카,2015,22.9
Gambia,GMB,아프리카,2020,22.0
Botswana,BWA,아프리카,2015,21.4
Cote d'Ivoire,CIV,아프리카,2021,20.8
Vanuatu,VUT,오세아니아,2019,19.5
Syria,SYR,아시아,2022,18.0
Senegal,SEN,아프리카,2021,17.9
South Africa,ZAF,아프리카,2022,17.4
Honduras,HND,북미,2024,15.7
Cape Verde,CPV,아프리카,2015,14.6
Guyana,GUY,남미,1998,13.0
Sao Tome and Principe,STP,아프리카,2017,13.0
Guinea,GIN,아프리카,2018,11.7
Philippines,PHL,아시아,2023,11.5
Myanmar,MMR,아시아,2017,10.3
Mauritania,MRT,아프리카,2019,10.2
Sudan,SDN,아프리카,2014,10.1
Guatemala,GTM,북미,2023,9.7
Nauru,NRU,오세아니아,2012,9.7
Venezuela,VEN,남미,2006,9.7
Tuvalu,TUV,오세아니아,2010,9.0
Equatorial Guinea,GNQ,아프리카,2022,8.8
Colombia,COL,남미,2024,8.5
Laos,LAO,아시아,2024,7.1
Nicaragua,NIC,북미,2014,6.6
Saint Lucia,LCA,북미,2015,6.4
Tajikistan,TJK,아시아,2024,6.1
Bangladesh,BGD,아시아,2022,5.9
Lebanon,LBN,아시아,2022,5.8
India,IND,아시아,2022,5.3
