국가,코드,대륙,연도,적색목록지수(생물다양성)
Aland Islands,ALA,유럽,2024,1.0
Burkina Faso,BFA,아프리카,2024,0.99
Estonia,EST,유럽,2024,0.99
Finland,FIN,유럽,2024,0.99
Latvia,LVA,유럽,2024,0.99
Lithuania,LTU,유럽,2024,0.99
Sint Maarten (Dutch part),SXM,북미,2024,0.99
Suriname,SUR,남미,2024,0.99
Sweden,SWE,유럽,2024,0.99
Tajikistan,TJK,아시아,2024,0.99
Aruba,ABW,북미,2024,0.98
Belarus,BLR,유럽,2024,0.98
Belgium,BEL,유럽,2024,0.98
Botswana,BWA,아프리카,2024,0.98
Denmark,DNK,유럽,2024,0.98
Libya,LBY,아프리카,2024,0.98
Liechtenstein,LIE,유럽,2024,0.98
Luxembourg,LUX,유럽,2024,0.98
Mali,MLI,아프리카,2024,0.98
Poland,POL,유럽,2024,0.98
Turkmenistan,TKM,아시아,2024,0.98
Canada,CAN,북미,2024,0.97
Congo,COG,아프리카,2024,0.97
Czechia,CZE,유럽,2024,0.97
Germany,DEU,유럽,2024,0.97
Mauritania,MRT,아프리카,2024,0.97
Moldova,MDA,유럽,2024,0.97
Namibia,NAM,아프리카,2024,0.97
Slovakia,SVK,유럽,2024,0.97
United Kingdom,GBR,유럽,2024,0.97
Uzbekistan,UZB,아시아,2024,0.97
Western Sahara,ESH,아프리카,2024,0.97
Andorra,AND,유럽,2024,0.96
Gambia,GMB,아프리카,2024,0.96
Isle of Man,IMN,유럽,2024,0.96
Jordan,JOR,아시아,2024,0.96
Lebanon,LBN,아시아,2024,0.96
Switzerland,CHE,유럽,2024,0.96
Gabon,GAB,아프리카,2024,0.95
Guernsey,GGY,유럽,2024,0.95
Jersey,JEY,유럽,2024,0.95
Mongolia,MNG,아시아,2024,0.95
Norway,NOR,유럽,2024,0.95
Paraguay,PRY,남미,2024,0.95
Russia,RUS,유럽,2024,0.95
South Georgia and the South Sandwich Islands,SGS,남미,2024,0.95
Syria,SYR,아시아,2024,0.95
Tunisia,TUN,아프리카,2024,0.95
Azerbaijan,AZE,아시아,2024,0.94
Bouvet Island,BVT,기타,2024,0.94
Bulgaria,BGR,유럽,2024,0.94
Central African Republic,CAF,아프리카,2024,0.94
French Guiana,GUF,남미,2024,0.94
Lesotho,LSO,아프리카,2024,0.94
Sierra Leone,SLE,아프리카,2024,0.94
Ukraine,UKR,유럽,2024,0.94
Angola,AGO,아프리카,2024,0.93
Georgia,GEO,아시아,2024,0.93
Gibraltar,GIB,유럽,2024,0.93
Heard Island and McDonald Islands,HMD,기타,2024,0.93
Niger,NER,아프리카,2024,0.93
Saint Martin (French part),MAF,북미,2024,0.93
Senegal,SEN,아프리카,2024,0.93
South Sudan,SSD,아프리카,2024,0.93
Afghanistan,AFG,아시아,2024,0.92
Algeria,DZA,아프리카,2024,0.92
Cyprus,CYP,유럽,2024,0.92
Malta,MLT,유럽,2024,0.92
North Macedonia,MKD,유럽,2024,0.92
Serbia,SRB,유럽,2024,0.92
Benin,BEN,아프리카,2024,0.91
Cape Verde,CPV,아프리카,2024,0.91
Chad,TCD,아프리카,2024,0.91
Cote d'Ivoire,CIV,아프리카,2024,0.91
Guinea-Bissau,GNB,아프리카,2024,0.91
Hungary,HUN,유럽,2024,0.91
Liberia,LBR,아프리카,2024,0.91
Netherlands,NLD,유럽,2024,0.91
Slovenia,SVN,유럽,2024,0.91
Sudan,SDN,아프리카,2024,0.91
Uruguay,URY,남미,2024,0.91
Burundi,BDI,아프리카,2024,0.9
Egypt,EGY,아프리카,2024,0.9
Greenland,GRL,북미,2024,0.9
North Korea,PRK,아시아,2024,0.9
