국가,코드,대륙,연도,실업률
Eswatini,SWZ,아프리카,2025,34.2
South Africa,ZAF,아프리카,2025,32.39
Djibouti,DJI,아프리카,2025,26.02
Botswana,BWA,아프리카,2025,24.48
Palestine,PSE,아시아,2022,24.42
Gabon,GAB,아프리카,2025,20.15
Congo,COG,아프리카,2025,19.88
Namibia,NAM,아프리카,2025,19.29
Somalia,SOM,아프리카,2025,18.95
Libya,LBY,아프리카,2025,18.76
Saint Vincent and the Grenadines,VCT,북미,2025,18.0
Yemen,YEM,아시아,2025,17.32
Jordan,JOR,아시아,2025,16.54
Lesotho,LSO,아프리카,2025,16.32
Iraq,IRQ,아시아,2025,15.48
Tunisia,TUN,아프리카,2025,15.11
Haiti,HTI,북미,2025,14.94
Angola,AGO,아프리카,2025,14.11
Montenegro,MNE,유럽,2025,13.57
Syria,SYR,아시아,2025,13.57
Afghanistan,AFG,아시아,2025,13.35
Armenia,ARM,아시아,2025,12.87
South Sudan,SSD,아프리카,2023,12.37
North Macedonia,MKD,유럽,2025,12.26
Georgia,GEO,아시아,2025,12.1
Guyana,GUY,남미,2025,11.96
Cape Verde,CPV,아프리카,2025,11.94
French Polynesia,PYF,오세아니아,2025,11.66
Algeria,DZA,아프리카,2025,11.63
United States Virgin Islands,VIR,북미,2025,11.44
Rwanda,RWA,아프리카,2025,11.36
New Caledonia,NCL,오세아니아,2025,11.17
Bosnia and Herzegovina,BIH,유럽,2025,11.04
Lebanon,LBN,아시아,2023,10.98
Albania,ALB,유럽,2025,10.93
Nepal,NPL,아시아,2025,10.46
Spain,ESP,유럽,2025,10.38
Mauritania,MRT,아프리카,2025,10.32
Ukraine,UKR,유럽,2021,9.83
Finland,FIN,유럽,2025,9.46
Saint Lucia,LCA,북미,2025,9.45
Zimbabwe,ZWE,아프리카,2025,9.29
Bahamas,BHS,북미,2025,9.21
Sao Tome and Principe,STP,아프리카,2025,9.13
Morocco,MAR,아프리카,2025,9.0
Chile,CHL,남미,2025,8.97
Belize,BLZ,북미,2025,8.86
Sweden,SWE,유럽,2025,8.69
Greece,GRC,유럽,2025,8.54
Turkey,TUR,아시아,2025,8.52
Panama,PAN,북미,2025,8.36
Equatorial Guinea,GNQ,아프리카,2025,8.34
Estonia,EST,유럽,2025,8.31
Iran,IRN,아시아,2025,8.3
Colombia,COL,남미,2025,8.29
Suriname,SUR,남미,2025,7.83
France,FRA,유럽,2025,7.54
