국가,코드,대륙,연도,여성 국회의원 비율
Rwanda,RWA,아프리카,2025,63.8
Cuba,CUB,북미,2025,55.7
Nicaragua,NIC,북미,2025,55.0
Bolivia,BOL,남미,2025,50.8
Mexico,MEX,북미,2025,50.2
United Arab Emirates,ARE,아시아,2025,50.0
Costa Rica,CRI,북미,2025,49.1
Australia,AUS,오세아니아,2025,46.0
Iceland,ISL,유럽,2025,46.0
Finland,FIN,유럽,2025,45.5
New Zealand,NZL,오세아니아,2025,45.5
Ecuador,ECU,남미,2025,45.0
Sweden,SWE,유럽,2025,45.0
South Africa,ZAF,아프리카,2025,44.7
Cape Verde,CPV,아프리카,2025,44.4
Spain,ESP,유럽,2025,44.3
Denmark,DNK,유럽,2025,43.6
Netherlands,NLD,유럽,2025,42.7
Namibia,NAM,아프리카,2025,42.3
Taiwan,TWN,아시아,2025,42.0
Ethiopia,ETH,아프리카,2025,41.9
Peru,PER,남미,2025,41.5
Argentina,ARG,남미,2025,41.3
Belgium,BEL,유럽,2025,41.3
Senegal,SEN,아프리카,2025,41.2
United Kingdom,GBR,유럽,2025,40.5
Norway,NOR,유럽,2025,40.2
Moldova,MDA,유럽,2025,40.0
Burundi,BDI,아프리카,2025,39.6
North Macedonia,MKD,유럽,2025,39.2
Angola,AGO,아프리카,2025,39.1
Switzerland,CHE,유럽,2025,39.0
Armenia,ARM,아시아,2025,38.3
Mozambique,MOZ,아프리카,2025,38.3
Uzbekistan,UZB,아시아,2025,38.0
Tanzania,TZA,아프리카,2025,37.8
Dominican Republic,DOM,북미,2025,37.4
Serbia,SRB,유럽,2025,37.2
Guyana,GUY,남미,2025,36.9
France,FRA,유럽,2025,36.2
Portugal,PRT,유럽,2025,35.7
Slovenia,SVN,유럽,2025,35.6
Austria,AUT,유럽,2025,35.5
East Timor,TLS,아시아,2025,35.4
Chile,CHL,남미,2025,35.1
Albania,ALB,유럽,2025,35.0
Luxembourg,LUX,유럽,2025,35.0
Uganda,UGA,아프리카,2025,34.1
Belarus,BLR,유럽,2025,33.9
Cameroon,CMR,아프리카,2025,33.9
Chad,TCD,아프리카,2025,33.5
Czechia,CZE,유럽,2025,33.5
Nepal,NPL,아시아,2025,33.5
Croatia,HRV,유럽,2025,33.1
Italy,ITA,유럽,2025,32.8
Germany,DEU,유럽,2025,32.4
South Sudan,SSD,아프리카,2025,32.4
Singapore,SGP,아시아,2025,32.3
El Salvador,SLV,북미,2025,31.7
Suriname,SUR,남미,2025,31.4
Vietnam,VNM,아시아,2025,31.4
Poland,POL,유럽,2025,31.3
Uruguay,URY,남미,2025,31.3
Venezuela,VEN,남미,2025,31.2
Equatorial Guinea,GNQ,아프리카,2025,31.0
Latvia,LVA,유럽,2025,31.0
Canada,CAN,북미,2025,30.3
Jamaica,JAM,북미,2025,30.2
Mali,MLI,아프리카,2025,30.1
Zimbabwe,ZWE,아프리카,2025,30.1
Guinea,GIN,아프리카,2025,29.6
Sierra Leone,SLE,아프리카,2025,29.5
Colombia,COL,남미,2025,29.4
Malta,MLT,유럽,2025,29.1
