곡,아티스트,장르,인기도,댄스,에너지,긍정도,템포
I Don't Care (with Justin Bieber) - Loud Luxury Remix,Ed Sheeran,pop,66,75,92,52,122
Never Really Over - R3HAB Remix,Katy Perry,pop,62,45,86,15,113
SOS - Laidback Luke Tribute Remix / Radio Edit,Avicii,pop,68,57,92,68,124
Let It Be Me - Sondr Remix,Steve Aoki,pop,35,47,82,23,123
One Thing Right - Firebeatz Remix,Marshmello,pop,66,68,85,35,126
Ruin My Life - Steve James Remix,Zara Larsson,pop,58,72,84,64,124
Paradise - Bazzi vs. Black Caviar Remix,Bazzi vs.,pop,55,73,82,68,124
Heaven Can Wait - The Aston Shuffle Remix,Sia,pop,61,62,86,44,122
Old Town Road - Diplo Remix,Lil Nas X,pop,74,77,77,30,140
All Star - Breathe Carolina Remix,Smash Mouth,pop,60,75,90,75,115
Talk - Disclosure VIP,Khalid,pop,60,78,87,56,129
Here With Me,Marshmello,pop,83,79,56,18,100
South of the Border (feat. Camila Cabello & Cardi B) - Sam F,Ed Sheeran,pop,65,79,86,49,110
Ruin My Life,Zara Larsson,pop,79,66,70,58,125
In Your Arms (with X Ambassadors),ILLENIUM,pop,75,40,81,11,148
Need Your Love (with Noah Kahan),Gryffin,pop,70,58,76,52,104
Sleepless Nights,ayokay,pop,64,66,70,45,140
Faith (with Dolly Parton) [feat. Mr. Probz],Galantis,pop,77,55,80,72,118
Now That I Found You,Carly Rae Jepsen,pop,5,61,74,57,124
Something About You (with Rudimental),Elderbrook,pop,53,77,60,66,107
Million Voices,Armin van Buuren,pop,60,47,87,18,126
Scared to Be Lonely,Martin Garrix,pop,81,58,54,20,138
Something Just Like This,The Chainsmokers,pop,83,62,64,45,103
Stay The Night - Featuring Hayley Williams Of Paramore,Zedd,pop,61,60,74,46,128
In My Mind,Dynoro,pop,84,69,77,16,126
Anything Could Happen,Ellie Goulding,pop,57,70,78,38,103
Dive,Hot Shade,pop,68,65,79,41,124
Call You Mine - Asketa & Natan Chaim Remix,The Chainsmokers,pop,58,58,84,28,115
Pon de Replay,Ed Marquis,pop,64,53,72,48,104
Don't Start Now - Kungs Remix,Dua Lipa,pop,65,66,70,25,122
One Life,Mike Perry,pop,64,65,76,23,128
I Will Let You Down (feat. KLARA),Madison Mars,pop,59,61,92,42,126
Acordeão,Tiësto,pop,63,55,89,78,125
No More (feat. Brenda Mullen) - Bottai Edit,Alex Gaudino,pop,19,68,67,41,125
Only Want You - Sam Feldt Remix,Rita Ora,pop,64,58,79,35,106
Sixteen - Don Diablo Remix,Ellie Goulding,pop,66,49,77,30,123
Found Love (feat. Lovespeake),MOTi,pop,59,60,89,64,126
All The Lies - Toby Romeo Remix / Radio Edit,Alok,pop,56,71,81,63,120
I Miss Myself - R3HAB Remix,NOTD,pop,56,50,78,61,123
I'm Not Sorry,Hardwell,pop,34,65,82,35,128
Wish You Well,Sigala,pop,75,67,90,58,125
With You - Frank Walker Remix,Tyler Shaw,pop,49,69,61,45,105
True Colors (feat. Maya Avedis),XO Cupid,pop,73,64,63,45,105
Forever Young,John De Sohn,pop,68,65,62,59,122
All For Love,Tungevaag & Raaban,pop,68,69,90,65,125
Just Got Paid,Sigala,pop,65,73,92,65,120
Who's Got Your Love,Cheat Codes,pop,70,70,89,53,125
Think About You - Galantis Remix,Kygo,pop,63,62,90,33,124
Happier - Tiësto’s AFTR:HRS Remix,Ed Sheeran,pop,53,68,82,38,118
Symphony (feat. Zara Larsson),Clean Bandit,pop,73,72,60,45,123
Feel Good,Felix Jaehn,pop,65,70,90,66,126
All I Wanna Do,Martin Jensen,pop,55,73,79,52,112
Burn Out (feat. Dewain Whitmore),Martin Garrix,pop,68,59,72,41,128
Glitch,Martin Garrix,pop,56,72,79,36,128
Mama Look at Me Now,Galantis,pop,56,59,68,40,126
Skyline,Catiso,pop,2,73,79,48,128
Let You Down - Chris Royal Remix,Bombs Away,pop,39,36,94,14,128
Breathe,Jax Jones,pop,65,72,74,69,126
Nobody Knows,Hiroomi Tosaka,pop,39,62,88,77,140
Make A Move - Pt. 2,EMMA WAHLIN,pop,17,84,52,46,124
Easy Breezy,chelmico,pop,42,66,99,62,93
Fly me 2,eill,pop,41,74,72,32,125
Be on the Stage,KEITA,pop,26,68,85,59,101
Made In JPN,DEAN FUJIOKA,pop,36,62,61,73,200
Simple Things,HarukiD,pop,21,70,65,23,95
ミズノナカヘ - Car TAX remix,yu-re:meu,pop,16,74,85,88,126
Bitten By You,Monkey Majik,pop,40,68,75,97,115
THURSDAY,GOT7,pop,63,68,79,47,158
DRIP,HINAPIA,pop,59,66,87,42,90
Boy With Luv (feat. Halsey),BTS,pop,85,64,86,80,120
As If It's Your Last,BLACKPINK,pop,2,79,85,45,125
DNA,BTS,pop,71,60,78,69,130
ME,CLC,pop,64,75,80,80,147
Way Back Home,SHAUN,pop,66,74,74,56,100
Fever,GFRIEND,pop,67,76,84,51,112
Humph!,PENTAGON,pop,63,79,67,96,133
Break the Distance,ELYAZ,pop,30,60,70,40,128
Like I Love You,Lost Frequencies,pop,58,86,59,75,118
BOOM,Tiësto,pop,70,89,84,20,123
Don't Let Me Down - Illenium Remix,The Chainsmokers,pop,64,43,66,36,80
Counting Stars,OneRepublic,pop,80,66,70,48,122
If I Lose Myself - Alesso vs OneRepublic,OneRepublic,pop,44,52,78,15,126
I Could Be The One (Avicii Vs. Nicky Romero) - Radio Edit,Avicii,pop,66,51,79,64,128
Here Comes The Sun,Campsite Dream,pop,43,68,63,59,121
Mr Todd Terry,Riton,pop,50,81,85,63,120
Do You Mean (feat. Ty Dolla $ign & bülow),The Chainsmokers,pop,17,60,67,57,100
Acid Dreams,MAX,pop,65,82,51,77,100
Instagram - Dimitri Vegas & Like Mike VS Trobi Remix,Dimitri Vegas & Like Mike,pop,41,76,92,65,124
Shy Guy,Campsite Dream,pop,48,60,56,64,96
Play,K-391,pop,78,52,80,17,102
Say My Name,David Guetta,pop,78,70,66,79,95
No Diggity,Campsite Dream,pop,55,71,71,39,105
Get Lucky (feat. Pharrell Williams & Nile Rodgers) - Radio E,Daft Punk,pop,76,79,81,86,116
We Don't Talk,Wiktoria,pop,42,81,62,49,104
Faded,John De Sohn,pop,54,56,86,55,150
Dance Monkey,Skylike,pop,63,78,86,31,118
Once and for All,Moe Aly,pop,44,68,56,50,96
Boots,Greyson Chance,pop,55,44,67,69,77
Amsterdam,Frans,pop,44,84,67,91,110
I Could Get Used To This,Martin Jensen,pop,58,76,74,65,121
Perspective,AMAANDA,pop,32,78,60,38,115
Punching in the Dark,Hellberg,pop,52,68,62,37,110
Try,Lost Kings,pop,55,48,80,36,200
Lost,End of the World,pop,65,71,73,73,122
Here I Am (feat. Michael Shynes),Le P,pop,35,69,62,33,103
everything i wanted,Billie Eilish,pop,97,70,22,24,120
You should be sad,Halsey,pop,86,59,58,32,111
China,Anuel AA,pop,93,79,81,61,105
Señorita,Shawn Mendes,pop,93,76,54,75,117
Presiento,Morat,pop,71,71,73,46,180
Lola Bunny,Lola Indigo,pop,69,77,90,87,95
Nice To Meet Ya,Niall Horan,pop,87,59,84,39,109
Lover (Remix) [feat. Shawn Mendes],Taylor Swift,pop,85,45,60,42,205
Before You Go,Lewis Capaldi,pop,90,46,57,18,112
Sandstorm - Radio Edit,Darude,pop,61,54,98,52,136
Bailando - Video Edit,Paradisio,pop,59,65,96,83,133
Tubthumping,Chumbawamba,pop,53,39,94,62,208
Will I Ever,Alice DJ,pop,49,65,84,63,137
This Is Your Night,Amber,pop,52,67,91,86,128
Waiting for Tonight,Jennifer Lopez,pop,55,69,94,85,125
Sweet Dreams,La Bouche,pop,62,66,96,83,134
(You Drive Me) Crazy [The Stop Remix!] - Remastered,Britney Spears,pop,40,73,95,77,101
Around The World,Aqua,pop,0,70,98,97,130
Lost in Someone Else,Casey Derhak,pop,39,73,55,50,100
I Want You Back - Radio Edit,*NSYNC,pop,54,76,93,85,112
Think of You - Radio Edit,Whigfield,pop,50,70,81,87,127
Dragostea Din Tei - Original Romanian Version,O-Zone,pop,8,81,97,68,130
Sing Hallelujah!,Dr. Alban,pop,21,76,82,94,125
Up & Down,Vengaboys,pop,61,79,93,89,136
Not Today - Remix,Hillsong UNITED,pop,43,62,83,43,110
Nobody,Local Sound,pop,46,71,85,71,102
Victory (Remix),Highlands Worship,pop,31,59,59,35,141
Without Your Love,York Worship,pop,29,53,61,66,101
We Dance,Bright Ones,pop,35,74,64,27,130
Love Me Like You - TYE Remix,The Young Escape,pop,39,40,76,40,178
Streams,Austin & Lindsey Adamec,pop,31,21,73,44,75
Chasing Me,Long Hollow Wave,pop,30,72,80,42,110
Everything and More (feat. Aaron Cole),Hollyn,pop,43,66,70,29,100
You Are My Revival - Remix,Long Hollow Wave,pop,25,60,69,53,120
So Much More - Remix,Northwood Worship,pop,3,67,71,76,104
The Reason (Sean Cook Remix),Urban Rescue,pop,38,64,58,54,98
Leave The Light On,ReauBeau,pop,18,53,83,35,136
Yourself,IIWII,pop,31,56,78,28,124
Is This Love,Venomenal,pop,28,73,88,48,126
Ego - Domastic Remix,Rich Edwards,pop,33,81,79,39,128
The Weekend,REK,pop,18,79,73,56,106
Closure,Snareskin,pop,36,59,54,43,156
Tell Me,Rich Edwards,pop,30,38,62,34,90
Walk Away - Melio Remix,Sick Individuals,pop,24,76,46,19,105
Morninglight - Main Circus Deep Mix,Team Deep,pop,13,64,95,55,125
I Know,Pierce Fulton,pop,2,75,84,74,128
Take Me Away,Calippo,pop,49,80,75,55,125
Shadows (feat. Veronica),Adam K,pop,44,73,68,48,118
Skin - Rinzen Remix,Kidnap,pop,45,78,74,29,123
Over - Zonderling Edit,Dannic,pop,39,82,94,15,125
Symphony - Acoustic Mix,Sick Individuals,pop,24,50,46,26,124
ひとりの夜を抜け,Lucky Kilimanjaro,pop,41,65,74,74,122
ガリレオ・ガール,NONA REEVES,pop,37,70,88,94,124
Make A Move,EMMA WAHLIN,pop,45,82,59,38,124
Flame of Love,Reiji Kawaguchi,pop,26,74,73,58,105
Breakthrough,TWICE,pop,65,87,73,62,112
MAKUAKE PARKGOLF remix,eill,pop,28,70,69,68,126
Woman We Are,Dream Shizuka,pop,26,70,89,59,144
Two Weeks,FKA twigs,pop,58,48,72,34,110
I Know There's Gonna Be (Good Times) [feat. Popcaan],Young Thug,pop,57,63,59,50,90
GLOWED UP,KAYTRANADA,pop,64,68,62,43,136
Should Have Known Better,Sufjan Stevens,pop,65,57,17,30,91
Retrograde,James Blake,pop,67,53,25,19,78
Don't Touch My Hair,Solange,pop,61,82,41,40,91
Girl,The Internet,pop,67,57,42,45,80
Don't Wanna Be Your Girl,Wet,pop,46,56,18,12,130
Chateau Lobby #4 (in C for Two Virgins),Father John Misty,pop,60,44,80,78,188
Open Eye Signal,Jon Hopkins,pop,53,80,72,20,122
Road Head,Japanese Breakfast,pop,60,54,67,16,95
Goodie Bag,Still Woozy,pop,45,70,53,58,138
Riding For The Feeling,Bill Callahan,pop,48,44,21,28,101
Rill Rill,Sleigh Bells,pop,56,47,81,79,73
The Words That Maketh Murder,PJ Harvey,pop,37,59,78,73,158
The Victory - Reloaded,Deborah Dworshipper,pop,46,69,63,48,120
Help,Saint Mars,pop,42,48,67,72,113
Never Enough,Blair Woods,pop,27,60,68,39,100
Wait for Me,CTZNJ,pop,43,30,57,37,90
If I Loved You,Royse,pop,38,66,83,42,115
Heart Beats Fast. (Xander Milne Remix),Eivind Husebø,pop,27,69,66,39,120
Firestone (feat. Conrad Sewell),Kygo,pop,16,68,64,42,114
Faded,Alan Walker,pop,77,59,65,17,90
Chandelier,Sia,pop,79,40,79,57,117
We Can't Stop,Miley Cyrus,pop,77,61,62,48,80
Rich Boy,Josh Stanley,pop,34,84,47,32,110
Uptown Funk,Mark Ronson,pop,82,86,61,93,115
Liar,Camila Cabello,pop,87,74,50,65,98
Story of My Life,One Direction,pop,80,60,66,29,121
Find U Again (feat. Camila Cabello),Mark Ronson,pop,74,60,66,16,104
TiK ToK,Kesha,pop,80,76,84,71,120
Five More Hours - Deorro x Chris Brown,Deorro,pop,68,70,88,50,128
Treat You Better,Shawn Mendes,pop,11,75,82,79,111
Say You Won't Let Go,James Arthur,pop,76,40,56,48,99
Sad (feat. Afrojack) - SLVR Remix,Chico Rose,pop,49,65,92,52,128
Memories,Maroon 5,pop,98,76,32,57,91
hot girl bummer,blackbear,pop,94,78,56,68,130
Look At Her Now,Selena Gomez,pop,86,56,56,55,154
Trampoline (with ZAYN),SHAED,pop,90,62,46,50,127
Hot (Remix) [feat. Gunna and Travis Scott],Young Thug,pop,86,84,63,55,112
Callaita,Bad Bunny,pop,90,61,62,24,176
Fantasias,Rauw Alejandro,pop,92,88,70,79,94
Old Town Road - Remix,Lil Nas X,pop,90,88,62,64,136
Nice To Meet Ya,Niall Horan,pop,87,59,84,39,109
Feelings,Lauv,pop,81,69,47,25,103
Orphans,Coldplay,pop,78,50,81,28,108
Piece Of Your Heart,MEDUZA,pop,30,68,74,63,124
Bones (feat. OneRepublic),Galantis,pop,77,66,80,51,120
Brave,Don Diablo,pop,68,65,87,54,120
One Touch (with ‪Jess Glynne),Jess Glynne,pop,16,69,76,58,124
Love You Like A Love Song,Selena Gomez & The Scene,pop,75,86,68,92,117
Ready or Not,Bridgit Mendler,pop,68,72,87,75,93
He Could Be the One,Hannah Montana,pop,65,60,89,64,126
Stronger (What Doesn't Kill You),Kelly Clarkson,pop,73,56,94,68,116
Glad You Came,The Wanted,pop,71,72,85,45,127
Cake By The Ocean,DNCE,pop,80,77,75,90,119
Do It Again,Pia Mia,pop,74,71,56,41,96
