연도,도시,지역,국가,모양,지속초,시간대
2022,Pinehurst,NC,US,NA,900,night
2022,Los Angeles,CA,US,NA,1200,afternoon
2022,Tacoma,WA,US,NA,240,night
2021,Cranston,RI,US,NA,180,afternoon
2021,Ormond Beach,FL,US,NA,300,astronomical dawn
2020,Firestone,CO,US,NA,300,astronomical dusk
2020,San Diego,CA,US,NA,1800,night
2020,Bohmte,Lower Saxony,DE,NA,1200,night
2019,Wetaskiwin,AB,CA,NA,300,night
2019,Gilbert,AZ,US,NA,60,night
2019,Colorado Springs,CO,US,NA,10,morning
2019,Raleigh,NC,US,NA,900,nautical dawn
2019,Saratoga Springs,NY,US,NA,60,morning
2018,North Creek,NY,US,NA,1800,night
2018,Fort Bragg,CA,US,NA,180,night
2017,Toronto,ON,CA,NA,15,morning
2017,Nashville,TN,US,NA,300,night
2017,Kingfield,ME,US,NA,180,afternoon
2016,Grayling,MI,US,NA,10,night
2016,Nanaimo,BC,CA,NA,120,NA
2016,Boise,ID,US,NA,120,astronomical dusk
2015,Boston,MA,US,NA,30,night
2015,Wichita,KS,US,NA,5,night
2015,Tullytown,PA,US,NA,86400,night
2015,Spokane,WA,US,NA,2700,astronomical dusk
2015,Gilbert,AZ,US,NA,10,morning
2014,Burien,WA,US,NA,2100,night
2014,Visalia,CA,US,NA,30,nautical dawn
2014,Franklin,NH,US,NA,45,night
2014,San Antonio,TX,US,NA,600,afternoon
2014,Hot Springs,AR,US,NA,300,night
2013,Coral Gables,FL,US,NA,60,night
2013,Ludington,MI,US,NA,2100,night
2013,Kingston,GA,US,NA,180,astronomical dawn
2012,Conneaut,OH,US,NA,1200,night
2012,Sturbridge,MA,US,NA,10,morning
2012,Blue Point,NY,US,NA,25,nautical dawn
2012,Seattle,WA,US,NA,120,night
2011,Palm Springs,CA,US,NA,5,nautical dusk
2011,Blanchester,OH,US,NA,3,night
2010,Seabeck,WA,US,NA,900,astronomical dusk
2010,Reading,PA,US,NA,15,nautical dusk
2009,Selah,WA,US,NA,180,night
2009,Eagan,MN,US,NA,600,astronomical dusk
2009,Allentown,PA,US,NA,15,night
2008,Coolidge,AZ,US,NA,3,night
2008,Miami,FL,US,NA,60,astronomical dusk
2007,Cheney,WA,US,NA,10,nautical dusk
2007,Russellville,MO,US,NA,86400,night
2006,Shakopee,MN,US,NA,120,night
2005,Santa Maria,CA,US,NA,60,night
2005,Hillsboro,OR,US,NA,3,night
2004,Albuquerque,NM,US,NA,300,afternoon
2004,Norwalk,CA,US,NA,300,night
2003,South Bend,IN,US,NA,900,civil dawn
2003,Puyallup,WA,US,NA,20,afternoon
2002,Terrace,BC,CA,NA,90,night
2002,Los Angeles,CA,US,NA,240,afternoon
2001,Vancouver,WA,US,NA,60,NA
2000,Oshkosh,WI,US,NA,900,night
2000,Duluth,MN,US,NA,7,night
1999,Tucson,AZ,US,NA,5,night
1999,Ontario,NY,US,NA,5,night
1998,Lowell,IN,US,NA,30,night
1997,Stanwood,WA,US,NA,3,nautical dusk
1996,Portland,OR,US,NA,120,astronomical dawn
1996,Los Angeles,CA,US,NA,25,night
1996,Longmont,CO,US,NA,120,night
1996,Chicago,IL,US,NA,240,afternoon
1996,Everett,WA,US,NA,20,nautical dusk
1996,Merced,CA,US,NA,10,nautical dusk
1996,Baltimore,MD,US,NA,5,night
1996,Portland,OR,US,NA,3,night
1996,Redmond,WA,US,NA,60,night
1996,Eureka,CA,US,NA,240,night
1996,Wenatchee,WA,US,NA,660,night
1995,Waukesha,WI,US,NA,2,nautical dusk
1995,Phoenix,AZ,US,NA,300,civil dusk
1995,Auburn,WA,US,NA,10,night
1995,Johnson City,TN,US,NA,900,night
1995,New York City,NY,US,NA,720,nautical dusk
1995,Lake Charles,LA,US,NA,180,night
1995,Orangeburg,NY,US,NA,900,night
1995,Castle Rock,CO,US,NA,600,night
1995,Fontana,CA,US,NA,600,night
1995,Seattle,WA,US,NA,30,nautical dusk
1995,Bellevue,WA,US,NA,10,night
1995,Riverside,CA,US,NA,1200,night
1995,Auburn,WA,US,NA,60,morning
1995,Fall River,MA,US,NA,120,astronomical dusk
1995,Olympia,WA,US,NA,60,NA
1995,Lake Oswego,OR,US,NA,1800,astronomical dusk
1995,Fargo,ND,US,NA,120,night
1995,Placerville,CA,US,NA,5,night
1995,Flint,MI,US,NA,900,astronomical dusk
1995,Portland,OR,US,NA,2,night
1995,Auburn,WA,US,NA,2700,night
1995,Elizabethtown,KY,US,NA,4500,night
1995,Vienna,VA,US,NA,2,civil dusk
1995,Redmond,WA,US,NA,5,night
1992,Sedgefield,ENG,GB,NA,5,NA
1984,Griffin,GA,US,NA,30,afternoon
1977,Sacramento,CA,US,NA,600,astronomical dusk
1973,Appleton,WI,US,NA,40,night
1961,Carrollton,TX,US,NA,60,afternoon
2023,Lansing,MI,US,changing,2400,morning
2023,Zebulon,NC,US,changing,300,night
2022,Ocala,FL,US,changing,60,night
2022,Santa Clara,CA,US,changing,3,night
2022,Pedricktown,NJ,US,changing,180,civil dawn
2022,Lansdale,PA,US,changing,60,morning
2022,Portland,OR,US,changing,180,NA
2022,Cassville,MO,US,changing,900,night
2022,Russellville,AR,US,changing,600,night
2021,Sequim,WA,US,changing,300,night
2021,Whittier,CA,US,changing,180,afternoon
2021,Manchester,ENG,GB,changing,600,NA
2021,Iowa Falls,IA,US,changing,840,night
2020,McMinnville,OR,US,changing,300,night
2020,Alexandria,VA,US,changing,540,civil dusk
2020,Salina,KS,US,changing,3,night
2020,Colorado Springs,CO,US,changing,600,morning
2020,Georgetown,NY,US,changing,180,night
2020,Baker city,OR,US,changing,18000,night
2019,Monticello,IN,US,changing,900,night
2019,Irving,TX,US,changing,600,afternoon
2019,Kodiak,AK,US,changing,15,NA
2019,San Diego,CA,US,changing,1200,morning
2019,Spring City,TN,US,changing,60,morning
2018,Springfield,MO,US,changing,20,night
2018,Palm Springs,CA,US,changing,720,nautical dusk
2018,Joliet,IL,US,changing,540,afternoon
2018,Shaver Lake,CA,US,changing,5,morning
2017,Abington,MA,US,changing,600,night
2017,Treasure Island,FL,US,changing,2700,night
2017,Buffalo,NY,US,changing,600,nautical dusk
2017,Atlanta,GA,US,changing,90,afternoon
2017,Tallahassee,FL,US,changing,120,night
2016,Butte,MT,US,changing,900,afternoon
2016,Salt Lake City,UT,US,changing,120,night
2016,Blackwood,NJ,US,changing,600,night
2016,Olympia,WA,US,changing,3,nautical dusk
2015,Bessemer City,NC,US,changing,20,morning
2015,Los Angeles,CA,US,changing,900,night
2015,Diamond Bar,CA,US,changing,30,civil dawn
2015,Columbus,OH,US,changing,120,nautical dusk
2015,Ocean City,NJ,US,changing,780,astronomical dusk
2015,Holland,MI,US,changing,3300,night
2015,Elizabethtown,PA,US,changing,1200,night
2014,Mobile,AL,US,changing,1200,night
2014,Austin,TX,US,changing,1200,night
2014,Eugene,OR,US,changing,60,night
2014,Camden,SC,US,changing,600,night
2014,Vandalia,OH,US,changing,900,astronomical dusk
2014,Honolulu,HI,US,changing,120,nautical dusk
2014,Clovis,NM,US,changing,60,night
2014,Kent,WA,US,changing,300,night
2013,Pompano Beach,FL,US,changing,360,civil dusk
2013,Fort Myers,FL,US,changing,3600,civil dusk
2013,Sacramento,CA,US,changing,600,astronomical dusk
2013,Hamilton,OH,US,changing,180,nautical dusk
2013,Cottage Grove,MN,US,changing,7,night
2013,Yakima,WA,US,changing,480,afternoon
2012,Pittsburgh,PA,US,changing,180,nautical dusk
2012,Portland,OR,US,changing,600,night
2012,Lake Wales,FL,US,changing,18000,night
2012,Murrells Inlet,SC,US,changing,240,morning
2012,Grand Prairie,TX,US,changing,45,night
2012,Bishopville,SC,US,changing,600,astronomical dusk
2012,Richmond,VA,US,changing,900,night
2012,New Hartford,NY,US,changing,120,night
2011,Bend,OR,US,changing,1200,astronomical dusk
2011,Kennewick,WA,US,changing,1500,nautical dusk
2011,beaver dam,WI,US,changing,900,civil dusk
2011,Santa Barbara,CA,US,changing,240,night
2010,West Covina,CA,US,changing,180,morning
2010,Salem,OR,US,changing,180,night
2010,Victor,ID,US,changing,600,morning
2010,Phoenix,AZ,US,changing,7,morning
2010,Winnie,TX,US,changing,1020,night
2009,Selby,ENG,GB,changing,240,astronomical dusk
2009,McArthur,OH,US,changing,2700,afternoon
2009,Chillicothe,OH,US,changing,10,night
2009,Round Rock,TX,US,changing,86400,night
2008,Crystal river,FL,US,changing,300,morning
2008,Fremont,CA,US,changing,180,night
2008,Jensen Beach,FL,US,changing,2400,night
2008,Springdale,AR,US,changing,300,afternoon
2008,San Francisco,CA,US,changing,60,night
2007,San Diego,CA,US,changing,900,night
2007,Orem,UT,US,changing,180,morning
2007,Cottonwood,CA,US,changing,900,night
2007,Phoenix,AZ,US,changing,2700,night
2006,Orlando,FL,US,changing,20,morning
2006,Coventry,ENG,GB,changing,300,afternoon
2006,Riverton,IL,US,changing,300,morning
2006,Albuquerque,NM,US,changing,60,afternoon
2005,Surprise,AZ,US,changing,300,astronomical dusk
2005,Winooski,VT,US,changing,120,civil dusk
2005,Bayonne,NJ,US,changing,120,afternoon
2005,Deming,NM,US,changing,1200,afternoon
2004,Chillicothe,OH,US,changing,86400,morning
2004,Tullahoma,TN,US,changing,86400,civil dusk
2004,Toronto,ON,CA,changing,1200,night
2004,Methuen,MA,US,changing,300,night
2003,Austin,TX,US,changing,45,night
2003,North Little Rock,AR,US,changing,300,night
2003,Gilroy,CA,US,changing,5,astronomical dusk
2003,Davie,FL,US,changing,300,nautical dusk
2002,Santa Cruz,CA,US,changing,10,night
2002,Windsor,ON,CA,changing,2100,night
2002,Visalia,CA,US,changing,300,morning
2002,Allegany,NY,US,changing,600,morning
2001,Phoenix,AZ,US,changing,120,night
2001,Cypress,TX,US,changing,300,afternoon
2001,San Jose,CA,US,changing,120,afternoon
2000,Lyndhurst,VA,US,changing,180,afternoon
2000,New York City,NY,US,changing,300,afternoon
1999,Stockholm,Stockholm,SE,changing,10,astronomical dusk
1999,Jacksonville,FL,US,changing,30,afternoon
1998,Corunna,MI,US,changing,60,morning
1998,Wyoming,MI,US,changing,60,civil dawn
1996,Fayetteville,AR,US,changing,5280,afternoon
1994,Carbonado,WA,US,changing,1800,night
1989,Grand Junction,CO,US,changing,1800,morning
1982,Slidell,LA,US,changing,1200,morning
1976,Dayton,OH,US,changing,10,afternoon
2023,Grand Island,NE,US,chevron,30,night
2022,Baltimore,MD,US,chevron,1200,night
2022,Jacksonville,FL,US,chevron,60,morning
2021,Miramar,FL,US,chevron,8,night
2021,Buda,TX,US,chevron,4,night
2020,Burnet,TX,US,chevron,14400,night
2020,Bradenton,FL,US,chevron,3,night
2019,Gold Canyon,AZ,US,chevron,300,astronomical dusk
2019,Mount Shasta,CA,US,chevron,8,morning
2019,Ashland City,TN,US,chevron,300,night
2018,East Prairie,MO,US,chevron,300,night
2018,Franklin,IL,US,chevron,120,afternoon
2017,Huntsville,AL,US,chevron,5,night
2017,Worcester,MA,US,chevron,120,astronomical dusk
2017,Gemmrigheim,Baden-Wurttemberg,DE,chevron,30,civil dusk
2016,Largo,FL,US,chevron,120,morning
2016,Orem,UT,US,chevron,10,morning
2016,Saint Charles,MO,US,chevron,180,night
2015,El Cajon,CA,US,chevron,300,night
2015,Orlando,FL,US,chevron,20,night
2015,Townsend,MA,US,chevron,360,astronomical dawn
2015,Port Charlotte,FL,US,chevron,180,night
2014,Anaheim,CA,US,chevron,60,night
2014,Sanbornville,NH,US,chevron,600,night
2014,Montreal,QC,CA,chevron,30,NA
2014,Jacksonville,NC,US,chevron,20,night
2013,Ralston,NE,US,chevron,10,night
2013,West Hartford,CT,US,chevron,86400,night
2013,Langley,WA,US,chevron,120,night
2012,Stephenville,TX,US,chevron,15,night
2012,Westwood,NJ,US,chevron,120,night
2012,Carteret,NJ,US,chevron,10,civil dawn
2011,Omaha,NE,US,chevron,60,night
2010,West Hills,CA,US,chevron,600,night
2010,Yuba City,CA,US,chevron,30,night
